session_num,start_local,end_local,duration,location,centroid_lat,centroid_lng,num_obs,ebird_count,inat_count,species_count,species_list
1,2026-05-04T05:00:00,2026-05-04T05:00:00,0:00:00,"Tierrasanta, San Diego, CA 92124, USA",32.827032,-117.115719,9,0,9,7,"Armadillidium vulgare, Cenchrus clandestinus, Conocybe apala, Coprinopsis, Coprinopsis lagopus, Parasola, Paropsis atomaria"
2,2026-05-04T05:00:00,2026-05-04T05:00:00,0:00:00,"National City Bl & 35th St, Chula Vista, CA 91910, USA",32.651550,-117.094267,1,0,1,1,Mephitis mephitis
3,2026-05-04T12:00:00,2026-05-04T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,9,9,0,9,"American Crow, Bewick's Wren, Black Phoebe, Dark-eyed Junco, House Finch, House Sparrow, Lesser Goldfinch, Orange-crowned Warbler, Song Sparrow"
4,2026-05-05T05:00:00,2026-05-05T05:00:00,0:00:00,"Tierrasanta, San Diego, CA 92124, USA",32.827979,-117.116524,3,0,3,3,"Armadillidium vulgare, Cornu aspersum, Squamulea subsoluta"
5,2026-05-05T12:00:00,2026-05-05T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,9,9,0,9,"Bewick's Wren, Black Phoebe, Bushtit, Common Raven, House Finch, Lesser Goldfinch, Orange-crowned Warbler, Song Sparrow, Swinhoe's White-eye"
6,2026-05-06T05:00:00,2026-05-06T05:00:00,0:00:00,"Tierrasanta, San Diego, CA 92124, USA",32.825880,-117.115122,5,0,5,5,"Agaricus californicus, Conocybe apala, Conocybe tenera, Coprinopsis lagopus, Cornu aspersum"
7,2026-05-06T05:00:00,2026-05-06T05:00:00,0:00:00,"Grove Transit Center, San Diego, CA 92115, USA; Joe Bain Youth Fishing Pier, Chollas Reservoir, San Diego, CA 92115, USA",32.737486,-117.061218,12,0,12,11,"Anas platyrhynchos, Anas platyrhynchos domesticus, Anser anser domesticus, Branta canadensis, Columba livia, Eucalyptus cladocalyx, Larus occidentalis, Otospermophilus beecheyi, Procambarus clarkii, Prunus ilicifolia, Quiscalus mexicanus"
8,2026-05-06T05:00:00,2026-05-06T05:00:00,0:00:00,"Broadway & West St, Lemon Grove, CA 91945, USA",32.742914,-117.036560,1,0,1,1,Quiscalus mexicanus
9,2026-05-06T05:00:00,2026-05-06T05:00:00,0:00:00,"Chollas 8-002 Dam, San Diego, CA 92115, USA; Joe Bain Youth Fishing Pier, Chollas Reservoir, San Diego, CA 92115, USA; Oak Park, San Diego, CA, USA",32.737580,-117.064082,27,0,27,25,"Amathia verticillata, Angiospermae, Anser anser domesticus × cygnoides domesticus, Ardea alba, Baccharis sarothroides, Chenopodiastrum murale, Convolvulus simulans, Cylindropuntia prolifera, Epilobium canum, Erigeron bonariensis, Eriogonum fasciculatum, Eucalyptus cladocalyx, Eucalyptus torquata, Gambusia affinis, Glebionis coronaria, Junco hyemalis, Lepidium strictum, Limonium californicum, Limonium perezii, Marrubium vulgare, Parietaria hespera, Plerandra elegantissima, Procambarus clarkii, Quiscalus mexicanus, Schismus barbatus"
10,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,Graylag Goose
11,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,1,1,0,1,Graylag Goose
12,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,3,3,0,3,"Canada Goose, Mallard, Rock Pigeon"
13,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,1,1,0,1,Eurasian Collared-Dove
14,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,2,2,0,2,"Allen's Hummingbird, White-throated Swift"
15,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,1,1,0,1,Allen's Hummingbird
16,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,3,3,0,3,"Great Horned Owl, Spotted Sandpiper, Western Gull"
17,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,2,2,0,2,"Nuttall's Woodpecker, Western Flycatcher"
18,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,Black Phoebe
19,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,2,2,0,2,"Black Phoebe, Hutton's Vireo"
20,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,American Crow
21,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,2,2,0,2,"American Crow, Bushtit"
22,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,California Gnatcatcher
23,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,2,2,0,2,"American Robin, Bewick's Wren"
24,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,House Finch
25,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,1,1,0,1,House Finch
26,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,1,1,0,1,Lesser Goldfinch
27,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,1,1,0,1,Lesser Goldfinch
28,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,2,2,0,2,"Chipping Sparrow, Song Sparrow"
29,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,3,3,0,2,"Hooded Oriole, Song Sparrow"
30,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Chollas Lake Park, San Diego, CA",32.738270,-117.059364,2,2,0,2,"Great-tailed Grackle, Red-winged Blackbird"
31,2026-05-06T12:00:00,2026-05-06T12:00:00,0:00:00,"Tierrasanta, San Diego, CA",32.827419,-117.116386,2,2,0,2,"Black-headed Grosbeak, Northern Yellow Warbler"
32,2026-05-07T05:00:00,2026-05-07T05:00:00,0:00:00,"Blue Sky Ecological Reserve, San Diego County, US-CA, US; Poway, CA, USA; Ramona, CA 92065, USA",33.016441,-117.022549,67,0,67,52,"Acarospora socialis, Acmispon glaber, Acourtia microcephala, Andricus quercuscalifornicus, Anthophila, Apodemia virgulti, Armadillidium vulgare, Artemisia californica, Baccharis pilularis, Baccharis salicifolia, Bromus madritensis, Bubo virginianus, Burnettweldia plumbella, Callirhytis quercussuttoni, Cenchrus setaceus, Cuscuta californica, Diplacus, Diplacus puniceus, Ericameria palmeri, Eriogonum fasciculatum, Grimmia laevigata, Hazardia squarrosa, Hesperoyucca whipplei, Hirschfeldia incana, Hirundo rustica, Hypochaeris glabra, Isocoma menziesii, Libellulidae, Lopidea marginata, Malosma laurina, Orgyia vetusta, Pellaea andromedifolia, Pellaea mucronata, Phacelia cicutaria, Platanus racemosa, Protoparmeliopsis muralis, Pseudognaphalium beneolens, Pseudognaphalium californicum, Quercus agrifolia, Quercus engelmannii, Rhus integrifolia, Salvia apiana, Salvia mellifera, Sceloporus occidentalis, Scleropodium touretii, Selaginella bigelovii, Selaginella eremophila, Senecio angulatus, Sisymbrium orientale, Squamulea subsoluta, Vitis girdiana, Xanthoparmelia cumberlandia"
33,2026-05-07T12:00:00,2026-05-07T12:00:00,0:00:00,"Blue Sky Ecological Reserve, Poway, CA",33.015350,-117.022812,15,15,0,15,"Acorn Woodpecker, Allen's Hummingbird, Common Poorwill, Common Raven, Dark-eyed Junco, House Finch, Lesser Goldfinch, Northern House Wren, Northern Yellow Warbler, Orange-crowned Warbler, Red-winged Blackbird, Say's Phoebe, Song Sparrow, Spotted Towhee, Wrentit"
34,2026-05-08T05:00:00,2026-05-08T05:00:00,0:00:00,"Chula Vista, CA 91910, USA; Chula Vista, CA, USA",32.625595,-117.104827,40,0,40,33,"Acmispon tomentosus, Apis mellifera, Atriplex lindleyi, Batis maritima, Bellis perennis, Bidens pilosa, Carissa macrocarpa, Cenchrus setaceus, Corvus corax, Ehrharta erecta, Erigeron bonariensis, Heliotropium curassavicum, Hesperaloe parviflora, Lepidium nitidum, Malva parviflora, Medicago lupulina, Metrosideros excelsa, Oloptum miliaceum, Otospermophilus beecheyi, Passer domesticus, Passeriformes, Pinus halepensis, Plantago major, Polycauliona ignea, Quercus ilex, Salsola tragus, Sceloporus occidentalis, Solanum douglasii, Solanum lycopersicum, Spergularia bocconei, Trifolium fragiferum, Trifolium repens, Zenaida macroura"
35,2026-05-08T12:00:00,2026-05-08T12:00:00,0:00:00,"Chula Vista Marina, Chula Vista, CA",32.625457,-117.105481,5,5,0,5,"American Crow, Barn Swallow, Great-tailed Grackle, House Finch, House Sparrow"
